Fish ID	Fish Name	Start Stage ID	Start Stage Name	End Stage ID	End Stage Name	Affected Structure or Process 1 subterm ID	Affected Structure or Process 1 subterm Name	Post-composed Relationship ID	Post-composed Relationship Name	Affected Structure or Process 1 superterm ID	Affected Structure or Process 1 superterm Name	Phenotype Keyword ID	Phenotype Keyword Name	Phenotype Tag	Affected Structure or Process 2 subterm ID	Affected Structure or Process 2 subterm name	Post-composed Relationship (rel) ID	Post-composed Relationship (rel) Name	Affected Structure or Process 2 superterm ID	Affected Structure or Process 2 superterm name	Publication ID	Environment ID	ZFIN EQ ID	IRI
ZDB-FISH-150901-19089	aus<sup>t294</sup>	ZDB-STAGE-010723-10	Pharyngula:Prim-5	ZDB-STAGE-010723-36	Larval:Day 5					ZFA:0000152	retina	PATO:0002463	extends to	abnormal	BSPO:0000099	posterior_to	BFO:0000050	part_of	ZFA:0000107	eye	ZDB-PUB-990507-9	ZDB-EXP-041102-1	0-0-ZFA:0000152-PATO:0002463-BSPO:0000099-BFO:0000050-ZFA:0000107	ZP:0013943
ZDB-FISH-150901-23362	kita<sup>b5/b5</sup>(AB)	ZDB-STAGE-010723-26	Hatching:Pec-fin	ZDB-STAGE-010723-26	Hatching:Pec-fin					ZFA:0009091	melanocyte	PATO:0002269	accumulation	abnormal	BSPO:0000099	posterior_to	BFO:0000050	part_of	ZFA:0000051	otic vesicle	ZDB-PUB-990830-7	ZDB-EXP-041102-1	0-0-ZFA:0009091-PATO:0002269-BSPO:0000099-BFO:0000050-ZFA:0000051	ZP:0009916
ZDB-FISH-151006-1	hdb4Tg	ZDB-STAGE-010723-8	Larval:Protruding-mouth	ZDB-STAGE-010723-8	Larval:Protruding-mouth					ZFA:0009077	microglial cell	PATO:0002269	accumulation	abnormal	BSPO:0000096	anterior_to	BFO:0000050	part_of	ZFA:0000445	optic tectum	ZDB-PUB-160720-8	ZDB-EXP-170512-4	0-0-ZFA:0009077-PATO:0002269-BSPO:0000096-BFO:0000050-ZFA:0000445	ZP:0022105
ZDB-FISH-151006-1	hdb4Tg	ZDB-STAGE-010723-8	Larval:Protruding-mouth	ZDB-STAGE-010723-8	Larval:Protruding-mouth					ZFA:0009077	microglial cell	PATO:0002269	accumulation	abnormal	BSPO:0000096	anterior_to	BFO:0000050	part_of	ZFA:0000445	optic tectum	ZDB-PUB-160720-8	ZDB-EXP-170512-5	0-0-ZFA:0009077-PATO:0002269-BSPO:0000096-BFO:0000050-ZFA:0000445	ZP:0022105
ZDB-FISH-160212-5	AB + MO1-meis3	ZDB-STAGE-010723-9	Hatching:Long-pec	ZDB-STAGE-010723-9	Hatching:Long-pec	BSPO:0000120	in_left_side_of	BFO:0000050	part_of	ZFA:0001076	intestinal bulb	PATO:0000628	mislocalised	abnormal							ZDB-PUB-150912-13	ZDB-EXP-070511-5	BSPO:0000120-BFO:0000050-ZFA:0001076-PATO:0000628-0-0-0	ZP:0020056
ZDB-FISH-160212-5	AB + MO1-meis3	ZDB-STAGE-010723-9	Hatching:Long-pec	ZDB-STAGE-010723-9	Hatching:Long-pec	BSPO:0000120	in_left_side_of	BFO:0000050	part_of	ZFA:0001323	mid intestine	PATO:0000462	absent	abnormal							ZDB-PUB-150912-13	ZDB-EXP-070511-5	BSPO:0000120-BFO:0000050-ZFA:0001323-PATO:0000462-0-0-0	ZP:0020058
ZDB-FISH-160212-5	AB + MO1-meis3	ZDB-STAGE-010723-9	Hatching:Long-pec	ZDB-STAGE-010723-9	Hatching:Long-pec	BSPO:0000121	in_right_side_of	BFO:0000050	part_of	ZFA:0001076	intestinal bulb	PATO:0000628	mislocalised	abnormal							ZDB-PUB-150912-13	ZDB-EXP-070511-5	BSPO:0000121-BFO:0000050-ZFA:0001076-PATO:0000628-0-0-0	ZP:0020051
ZDB-FISH-160212-5	AB + MO1-meis3	ZDB-STAGE-010723-9	Hatching:Long-pec	ZDB-STAGE-010723-9	Hatching:Long-pec	BSPO:0000121	in_right_side_of	BFO:0000050	part_of	ZFA:0001323	mid intestine	PATO:0000462	absent	abnormal							ZDB-PUB-150912-13	ZDB-EXP-070511-5	BSPO:0000121-BFO:0000050-ZFA:0001323-PATO:0000462-0-0-0	ZP:0020057
ZDB-FISH-160808-1	ltk<sup>dtwc3/dtwc3</sup>	ZDB-STAGE-010723-39	Adult	ZDB-STAGE-010723-39	Adult					ZFA:0009199	iridophore	PATO:0002168	displaced to	abnormal	BSPO:0000098	dorsal_to	BFO:0000050	part_of	ZFA:0001559	vertebral column	ZDB-PUB-160124-11	ZDB-EXP-041102-1	0-0-ZFA:0009199-PATO:0002168-BSPO:0000098-BFO:0000050-ZFA:0001559	ZP:0019964
ZDB-FISH-160808-5	t32238Tg ; tdl358Et ; ltk<sup>dtwc3/+</sup>	ZDB-STAGE-010723-8	Larval:Protruding-mouth	ZDB-STAGE-010723-8	Larval:Protruding-mouth					ZFA:0009199	iridophore	PATO:0002168	displaced to	abnormal	BSPO:0000099	posterior_to	BFO:0000050	part_of	ZFA:0000076	swim bladder	ZDB-PUB-160124-11	ZDB-EXP-070511-5	0-0-ZFA:0009199-PATO:0002168-BSPO:0000099-BFO:0000050-ZFA:0000076	ZP:0019970
ZDB-FISH-161209-1	TU + MO2-ephb4b	ZDB-STAGE-010723-16	Segmentation:20-25 somites	ZDB-STAGE-010723-16	Segmentation:20-25 somites	BSPO:0000120	in_left_side_of	BFO:0000050	part_of	ZFA:0000121	lateral plate mesoderm	PATO:0000462	absent	abnormal							ZDB-PUB-160612-7	ZDB-EXP-041102-1	BSPO:0000120-BFO:0000050-ZFA:0000121-PATO:0000462-0-0-0	ZP:0019233
ZDB-FISH-161209-1	TU + MO2-ephb4b	ZDB-STAGE-010723-16	Segmentation:20-25 somites	ZDB-STAGE-010723-16	Segmentation:20-25 somites	BSPO:0000121	in_right_side_of	BFO:0000050	part_of	ZFA:0000121	lateral plate mesoderm	PATO:0000628	mislocalised	abnormal							ZDB-PUB-160612-7	ZDB-EXP-041102-1	BSPO:0000121-BFO:0000050-ZFA:0000121-PATO:0000628-0-0-0	ZP:0019234
ZDB-FISH-180605-11	AB + MO1-klf8	ZDB-STAGE-010723-16	Segmentation:20-25 somites	ZDB-STAGE-010723-16	Segmentation:20-25 somites	BSPO:0000120	in_left_side_of	BFO:0000050	part_of	ZFA:0000101	diencephalon	PATO:0000462	absent	abnormal							ZDB-PUB-170720-15	ZDB-EXP-041102-1	BSPO:0000120-BFO:0000050-ZFA:0000101-PATO:0000462-0-0-0	ZP:0103211
ZDB-FISH-180605-12	AB + MO2-klf8	ZDB-STAGE-010723-16	Segmentation:20-25 somites	ZDB-STAGE-010723-16	Segmentation:20-25 somites	BSPO:0000120	in_left_side_of	BFO:0000050	part_of	ZFA:0000101	diencephalon	PATO:0000462	absent	abnormal							ZDB-PUB-170720-15	ZDB-EXP-041102-1	BSPO:0000120-BFO:0000050-ZFA:0000101-PATO:0000462-0-0-0	ZP:0103211
