affected_entity_1_sub	affected_entity_1_super	affected_entity_2_sub	affected_entity_2_super	defined_class	pato_id
BSPO:0000000	ZFA:0000823	BSPO:0000007	ZFA:0000823	ZP:0000157	PATO:0000642
BSPO:0000000	ZFA:0000028	BSPO:0000007	ZFA:0000028	ZP:0000680	PATO:0000651
ZFA:0009053	ZFA:0000295	GO:0048786	ZFA:0009053	ZP:0000972	PATO:0002002
GO:0030424	ZFA:0009301	BSPO:0000013	ZFA:0000029	ZP:0000981	PATO:0002259
GO:0030424	ZFA:0009301	BSPO:0000013	ZFA:0000075	ZP:0000982	PATO:0002259
GO:0030424	ZFA:0009301	ZFA:0000092	ZFA:0000075	ZP:0000983	PATO:0002259
GO:0030424	ZFA:0009310	BSPO:0000084	ZFA:0000101	ZP:0000988	PATO:0002168
GO:0030424	ZFA:0009310	BSPO:0000060	ZFA:0000107	ZP:0000989	PATO:0002168
GO:0014069	ZFA:0000175	GO:0048788	ZFA:0009367	ZP:0001367	PATO:0001505
ZFA:0009032	ZFA:0000001	BSPO:0000071	ZFA:0000001	ZP:0001814	PATO:0002448
ZFA:0009032	ZFA:0000022	BSPO:0000071	ZFA:0000022	ZP:0001816	PATO:0002448
ZFA:0009032	ZFA:0000150	BSPO:0000071	ZFA:0000150	ZP:0001821	PATO:0002448
ZFA:0009000	ZFA:0001670	ZFA:0009000	ZFA:0001670	ZP:0001836	PATO:0001505
GO:0030175	ZFA:0009139	BSPO:0000016	ZFA:0001094	ZP:0002024	PATO:0000133
ZFA:0009038	ZFA:0000161	ZFA:0009038	ZFA:0000161	ZP:0002238	PATO:0001531
BSPO:0000055	ZFA:0001205	BSPO:0000056	ZFA:0001400	ZP:0002371	PATO:0000375
GO:0072686	ZFA:0009032	BSPO:0000014	ZFA:0000151	ZP:0002573	PATO:0002327
ZFA:0009000	ZFA:0000150	ZFA:0005313	ZFA:0000151	ZP:0002576	PATO:0001453
GO:0005886	ZFA:0001558	GO:0005886	ZFA:0001558	ZP:0002650	PATO:0000374
GO:0005886	ZFA:0005123	GO:0005886	ZFA:0005123	ZP:0002655	PATO:0000374
ZFA:0009114	ZFA:0001056	GO:0005927	ZFA:0001056	ZP:0002959	PATO:0001453
GO:0042383	ZFA:0009115	GO:0042383	ZFA:0009115	ZP:0002976	PATO:0001505
GO:0031514	ZFA:0000150	GO:0036156	ZFA:0000150	ZP:0003049	PATO:0002001
GO:0031514	ZFA:0000150	GO:0036157	ZFA:0000150	ZP:0003050	PATO:0002001
ZFA:0009000	ZFA:0000135	ZFA:0009000	ZFA:0000135	ZP:0003363	PATO:0000374
GO:0005634	ZFA:0001094	GO:0005634	ZFA:0001094	ZP:0003393	PATO:0001667
BSPO:0000071	ZFA:0005124	GO:0005902	ZFA:0009034	ZP:0003510	PATO:0002001
BSPO:0000067	ZFA:0000150	BSPO:0000067	ZFA:0000150	ZP:0003577	PATO:0000642
BSPO:0000036	ZFA:0001094	BSPO:0000037	ZFA:0001094	ZP:0003687	PATO:0002327
GO:0030016	ZFA:0001056	GO:0030016	ZFA:0001056	ZP:0004380	PATO:0001453
ZFA:0009036	ZFA:0001285	ZFA:0009036	ZFA:0001285	ZP:0004394	PATO:0001531
GO:0030424	ZFA:0009310	BSPO:0000065	ZFA:0000107	ZP:0005005	PATO:0002168
GO:0030016	ZFA:0005145	GO:0030016	ZFA:0005145	ZP:0005107	PATO:0001654
GO:0030315	ZFA:0005145	GO:0030315	ZFA:0005145	ZP:0005109	PATO:0001654
GO:0031410	ZFA:0009114	GO:0042383	ZFA:0005145	ZP:0005112	PATO:0002269
ZFA:0009165	ZFA:0001613	ZFA:0009165	ZFA:0001613	ZP:0005249	PATO:0000642
GO:0030016	ZFA:0000155	GO:0030016	ZFA:0000155	ZP:0005716	PATO:0001654
ZFA:0009000	ZFA:0005023	BSPO:0000071	ZFA:0000006	ZP:0005855	PATO:0002269
ZFA:0000003	ZFA:0000255	ZFA:0000003	ZFA:0000255	ZP:0005871	PATO:0000374
BSPO:0000084	ZFA:0001205	BSPO:0000079	ZFA:0001399	ZP:0006199	PATO:0000642
BSPO:0000079	ZFA:0001422	BSPO:0000084	ZFA:0001400	ZP:0006200	PATO:0000642
GO:0030018	ZFA:0005145	GO:0030018	ZFA:0005145	ZP:0006244	PATO:0001654
GO:0005773	ZFA:0009084	GO:0005737	ZFA:0009084	ZP:0006351	PATO:0002270
GO:0030425	ZFA:0009255	GO:0044307	ZFA:0009255	ZP:0006435	PATO:0002001
BSPO:0000037	ZFA:0000217	BSPO:0000036	ZFA:0000150	ZP:0006920	PATO:0000374
GO:0031514	ZFA:0000001	GO:0097540	ZFA:0000001	ZP:0007037	PATO:0001999
GO:0001939	ZFA:0000093	GO:0005818	ZFA:0000093	ZP:0007247	PATO:0001654
GO:0005813	ZFA:0000093	GO:0001940	ZFA:0000093	ZP:0007248	PATO:0001453
ZFA:0009036	ZFA:0001267	ZFA:0009081	ZFA:0000113	ZP:0007283	PATO:0001505
GO:0005634	ZFA:0009114	BSPO:0000075	ZFA:0009114	ZP:0007579	PATO:0002168
GO:0042622	ZFA:0001466	GO:0005775	ZFA:0001466	ZP:0007861	PATO:0002168
GO:0030424	ZFA:0009310	BSPO:0000081	ZFA:0000008	ZP:0008052	PATO:0002035
GO:0030016	ZFA:0009115	GO:0005927	ZFA:0001056	ZP:0008071	PATO:0001453
GO:0030016	ZFA:0009115	GO:0030016	ZFA:0009115	ZP:0008072	PATO:0001453
GO:0048788	ZFA:0009262	GO:0014069	ZFA:0001330	ZP:0008133	PATO:0001453
ZFA:0009034	ZFA:0000150	GO:0005902	ZFA:0009034	ZP:0008274	PATO:0001999
GO:0005929	ZFA:0000001	GO:0036156	ZFA:0000001	ZP:0008425	PATO:0002001
GO:0042470	ZFA:0000144	BSPO:0000075	ZFA:0000144	ZP:0008706	PATO:0002168
GO:0042470	ZFA:0000144	BSPO:0000079	ZFA:0000144	ZP:0008707	PATO:0002168
GO:0042995	ZFA:0000144	GO:0042470	ZFA:0000144	ZP:0008710	PATO:0002000
GO:0043186	ZFA:0009288	GO:0005739	ZFA:0009288	ZP:0008879	PATO:0000374
GO:0005814	ZFA:0005242	GO:0005737	ZFA:0005242	ZP:0008945	PATO:0002168
GO:0030016	ZFA:0000473	GO:0030016	ZFA:0000473	ZP:0009157	PATO:0001654
GO:0030016	ZFA:0009116	GO:0030016	ZFA:0009116	ZP:0009179	PATO:0001654
GO:0030016	ZFA:0009117	GO:0030016	ZFA:0009117	ZP:0009180	PATO:0001654
ZFA:0009183	ZFA:0000105	ZFA:0009183	ZFA:0000105	ZP:0009215	PATO:0001505
GO:0043679	ZFA:0000944	GO:0005764	ZFA:0000944	ZP:0009327	PATO:0002002
ZFA:0009116	ZFA:0001056	ZFA:0009116	ZFA:0001056	ZP:0009329	PATO:0001654
GO:0005634	ZFA:0009256	GO:0005737	ZFA:0009256	ZP:0009506	PATO:0001470
ZFA:0009000	ZFA:0000135	BSPO:0001001	ZFA:0000135	ZP:0009563	PATO:0002173
ZFA:0009000	ZFA:0000029	ZFA:0009000	ZFA:0000029	ZP:0009628	PATO:0001531
