affected_entity_1_super	affected_entity_2_super	defined_class	pato_id
ZFA:0000588	ZFA:0009011	ZP:0000855	PATO:0002001
ZFA:0001717	ZFA:0001717	ZP:0000857	PATO:0000651
ZFA:0007000	ZFA:0009366	ZP:0000858	PATO:0002001
ZFA:0000529	ZFA:0009015	ZP:0000863	PATO:0002002
ZFA:0000191	ZFA:0000270	ZP:0000878	PATO:0000642
ZFA:0001205	ZFA:0001399	ZP:0000909	PATO:0000642
ZFA:0001273	ZFA:0000107	ZP:0000918	PATO:0000133
ZFA:0000123	ZFA:0009325	ZP:0000951	PATO:0002002
ZFA:0000529	ZFA:0009325	ZP:0000952	PATO:0002002
ZFA:0000168	ZFA:0000558	ZP:0000992	PATO:0000642
ZFA:0000530	ZFA:0000676	ZP:0000997	PATO:0000642
ZFA:0001617	ZFA:0000428	ZP:0001002	PATO:0002261
ZFA:0001617	ZFA:0001617	ZP:0001003	PATO:0000642
ZFA:0000700	ZFA:0009366	ZP:0001006	PATO:0001999
ZFA:0001094	ZFA:0001291	ZP:0001011	PATO:0002000
ZFA:0001094	ZFA:0001301	ZP:0001012	PATO:0002000
ZFA:0001094	ZFA:0001302	ZP:0001013	PATO:0002000
ZFA:0001094	ZFA:0001303	ZP:0001014	PATO:0002000
ZFA:0001260	ZFA:0005756	ZP:0001094	PATO:0002000
ZFA:0001372	ZFA:0009000	ZP:0001099	PATO:0002001
ZFA:0000032	ZFA:0009186	ZP:0001113	PATO:0002001
ZFA:0000032	ZFA:0009301	ZP:0001114	PATO:0002001
ZFA:0000101	ZFA:0005757	ZP:0001134	PATO:0002000
ZFA:0000458	ZFA:0000653	ZP:0001138	PATO:0001961
ZFA:0001117	ZFA:0000155	ZP:0001146	PATO:0002001
ZFA:0000008	ZFA:0009077	ZP:0001161	PATO:0002000
ZFA:0000075	ZFA:0000938	ZP:0001162	PATO:0001645
ZFA:0000152	ZFA:0009077	ZP:0001165	PATO:0002000
ZFA:0009117	ZFA:0009117	ZP:0001190	PATO:0000651
ZFA:0000217	ZFA:0001617	ZP:0001247	PATO:0002000
ZFA:0001617	ZFA:0001617	ZP:0001259	PATO:0000375
ZFA:0000143	ZFA:0009127	ZP:0001274	PATO:0001999
ZFA:0009256	ZFA:0000094	ZP:0001309	PATO:0002270
ZFA:0000060	ZFA:0000135	ZP:0001329	PATO:0000374
ZFA:0000011	ZFA:0009323	ZP:0001481	PATO:0002271
ZFA:0009115	ZFA:0001089	ZP:0001521	PATO:0001453
ZFA:0009116	ZFA:0001089	ZP:0001526	PATO:0001453
ZFA:0009117	ZFA:0001089	ZP:0001527	PATO:0001453
ZFA:0000050	ZFA:0009080	ZP:0001600	PATO:0002002
ZFA:0001094	ZFA:0000106	ZP:0001649	PATO:0002000
ZFA:0000948	ZFA:0000823	ZP:0001657	PATO:0000642
ZFA:0000051	ZFA:0000072	ZP:0001695	PATO:0000375
ZFA:0001114	ZFA:0001115	ZP:0001705	PATO:0001654
ZFA:0001239	ZFA:0000694	ZP:0001780	PATO:0002001
ZFA:0009264	ZFA:0009264	ZP:0001789	PATO:0001531
ZFA:0001158	ZFA:0001072	ZP:0001843	PATO:0002001
ZFA:0000368	ZFA:0009090	ZP:0001900	PATO:0002000
ZFA:0001094	ZFA:0009249	ZP:0001912	PATO:0002000
ZFA:0000095	ZFA:0001516	ZP:0001947	PATO:0002001
ZFA:0001094	ZFA:0009165	ZP:0001961	PATO:0002000
ZFA:0001205	ZFA:0001205	ZP:0001964	PATO:0000642
ZFA:0009139	ZFA:0000038	ZP:0002022	PATO:0002168
ZFA:0000014	ZFA:0000477	ZP:0002091	PATO:0000642
ZFA:0001205	ZFA:0001422	ZP:0002096	PATO:0000642
ZFA:0001400	ZFA:0001516	ZP:0002099	PATO:0000642
ZFA:0001516	ZFA:0001516	ZP:0002102	PATO:0000642
ZFA:0001458	ZFA:0001458	ZP:0002104	PATO:0000642
ZFA:0001094	ZFA:0001227	ZP:0002108	PATO:0002000
ZFA:0000944	ZFA:0000940	ZP:0002148	PATO:0002001
ZFA:0001673	ZFA:0001673	ZP:0002179	PATO:0000651
ZFA:0000099	ZFA:0005020	ZP:0002187	PATO:0002001
ZFA:0000100	ZFA:0009248	ZP:0002235	PATO:0002002
ZFA:0001115	ZFA:0009091	ZP:0002363	PATO:0002001
ZFA:0001115	ZFA:0009199	ZP:0002364	PATO:0002001
ZFA:0009084	ZFA:0009084	ZP:0002382	PATO:0000642
ZFA:0009084	ZFA:0009084	ZP:0002383	PATO:0001667
ZFA:0000035	ZFA:0000107	ZP:0002394	PATO:0001646
ZFA:0000154	ZFA:0000007	ZP:0002469	PATO:0002270
ZFA:0001205	ZFA:0001399	ZP:0002474	PATO:0001652
ZFA:0000069	ZFA:0005731	ZP:0002534	PATO:0002000
ZFA:0000208	ZFA:0001094	ZP:0002553	PATO:0001792
ZFA:0000823	ZFA:0005731	ZP:0002558	PATO:0002000
ZFA:0000949	ZFA:0005731	ZP:0002559	PATO:0002000
ZFA:0000633	ZFA:0009301	ZP:0002586	PATO:0002001
ZFA:0007067	ZFA:0007067	ZP:0002611	PATO:0000642
ZFA:0000295	ZFA:0009053	ZP:0002622	PATO:0002001
ZFA:0001400	ZFA:0001510	ZP:0002634	PATO:0002327
ZFA:0005000	ZFA:0005017	ZP:0002736	PATO:0001667
ZFA:0005002	ZFA:0001052	ZP:0002744	PATO:0001667
ZFA:0000101	ZFA:0000161	ZP:0002766	PATO:0002000
ZFA:0001115	ZFA:0009091	ZP:0002842	PATO:0002000
ZFA:0009114	ZFA:0000610	ZP:0002971	PATO:0001453
ZFA:0009114	ZFA:0009114	ZP:0002972	PATO:0001453
ZFA:0009115	ZFA:0000610	ZP:0002973	PATO:0001453
ZFA:0001400	ZFA:0000170	ZP:0003091	PATO:0000133
ZFA:0000051	ZFA:0001617	ZP:0003255	PATO:0002000
ZFA:0001117	ZFA:0000007	ZP:0003259	PATO:0002270
ZFA:0001615	ZFA:0005061	ZP:0003266	PATO:0000374
ZFA:0000200	ZFA:0009248	ZP:0003279	PATO:0001999
ZFA:0001094	ZFA:0000694	ZP:0003290	PATO:0002000
ZFA:0001094	ZFA:0001106	ZP:0003291	PATO:0002001
ZFA:0001094	ZFA:0001517	ZP:0003292	PATO:0002000
ZFA:0001094	ZFA:0001518	ZP:0003293	PATO:0002000
ZFA:0001094	ZFA:0001519	ZP:0003294	PATO:0002000
ZFA:0001094	ZFA:0001521	ZP:0003295	PATO:0002000
ZFA:0001094	ZFA:0001590	ZP:0003296	PATO:0001999
ZFA:0005222	ZFA:0009091	ZP:0003309	PATO:0002001
ZFA:0005223	ZFA:0009091	ZP:0003310	PATO:0002000
ZFA:0000152	ZFA:0009154	ZP:0003337	PATO:0002001
ZFA:0001285	ZFA:0005604	ZP:0003407	PATO:0002000
ZFA:0000940	ZFA:0009367	ZP:0003448	PATO:0002001
ZFA:0000028	ZFA:0009316	ZP:0003478	PATO:0001999
ZFA:0001094	ZFA:0001306	ZP:0003481	PATO:0001999
ZFA:0001058	ZFA:0009199	ZP:0003490	PATO:0002002
ZFA:0005221	ZFA:0009199	ZP:0003492	PATO:0002002
ZFA:0005224	ZFA:0009199	ZP:0003493	PATO:0002002
ZFA:0009199	ZFA:0005597	ZP:0003499	PATO:0002168
ZFA:0000514	ZFA:0000486	ZP:0003531	PATO:0000642
ZFA:0001189	ZFA:0001189	ZP:0003541	PATO:0000642
ZFA:0001400	ZFA:0001400	ZP:0003546	PATO:0000642
ZFA:0001115	ZFA:0000155	ZP:0003579	PATO:0002001
ZFA:0005024	ZFA:0000007	ZP:0003580	PATO:0002270
ZFA:0005037	ZFA:0000007	ZP:0003583	PATO:0002270
ZFA:0005249	ZFA:0000007	ZP:0003585	PATO:0002270
ZFA:0000152	ZFA:0000152	ZP:0003605	PATO:0000642
ZFA:0000570	ZFA:0000570	ZP:0003607	PATO:0000642
ZFA:0001094	ZFA:0001161	ZP:0003608	PATO:0001999
ZFA:0000014	ZFA:0009036	ZP:0003640	PATO:0001999
ZFA:0000477	ZFA:0009036	ZP:0003643	PATO:0001999
ZFA:0001285	ZFA:0009036	ZP:0003645	PATO:0001999
ZFA:0000058	ZFA:0000135	ZP:0003684	PATO:0000374
ZFA:0001604	ZFA:0001605	ZP:0003713	PATO:0000642
GO:0007626	GO:0003009	ZP:0003731	PATO:0001570
ZFA:0000075	ZFA:0009244	ZP:0003798	PATO:0002002
ZFA:0000075	ZFA:0009245	ZP:0003799	PATO:0002002
ZFA:0000075	ZFA:0009248	ZP:0003800	PATO:0002002
ZFA:0001321	ZFA:0001321	ZP:0003812	PATO:0000642
ZFA:0000051	ZFA:0001617	ZP:0003813	PATO:0002002
ZFA:0001058	ZFA:0001554	ZP:0003904	PATO:0002002
ZFA:0001161	ZFA:0001554	ZP:0003911	PATO:0002002
ZFA:0001173	ZFA:0001554	ZP:0003914	PATO:0002002
ZFA:0001184	ZFA:0001554	ZP:0003915	PATO:0002002
ZFA:0001114	ZFA:0001205	ZP:0003969	PATO:0002000
ZFA:0001114	ZFA:0001321	ZP:0003970	PATO:0002000
ZFA:0001114	ZFA:0001399	ZP:0003971	PATO:0002000
ZFA:0001114	ZFA:0001400	ZP:0003972	PATO:0002000
ZFA:0001114	ZFA:0001405	ZP:0003973	PATO:0002000
ZFA:0001114	ZFA:0001422	ZP:0003974	PATO:0002000
ZFA:0001114	ZFA:0001423	ZP:0003975	PATO:0002000
ZFA:0001114	ZFA:0001651	ZP:0003976	PATO:0002000
ZFA:0001114	ZFA:0007008	ZP:0003977	PATO:0002000
ZFA:0001114	ZFA:0007048	ZP:0003978	PATO:0002000
ZFA:0001114	ZFA:0007049	ZP:0003979	PATO:0002000
ZFA:0001114	ZFA:0007051	ZP:0003980	PATO:0002000
ZFA:0001114	ZFA:0007052	ZP:0003981	PATO:0002000
ZFA:0001161	ZFA:0001455	ZP:0003982	PATO:0002000
ZFA:0001161	ZFA:0001537	ZP:0003983	PATO:0002000
ZFA:0009369	ZFA:0009369	ZP:0004013	PATO:0000651
ZFA:0001284	ZFA:0001284	ZP:0004020	PATO:0000651
ZFA:0000471	ZFA:0000154	ZP:0004026	PATO:0001505
ZFA:0001094	ZFA:0000416	ZP:0004038	PATO:0001999
ZFA:0001319	ZFA:0001320	ZP:0004064	PATO:0000375
ZFA:0000029	ZFA:0005731	ZP:0004082	PATO:0002001
ZFA:0001673	ZFA:0000014	ZP:0004142	PATO:0001667
ZFA:0000107	ZFA:0000107	ZP:0004150	PATO:0000374
ZFA:0009256	ZFA:0000033	ZP:0004183	PATO:0002270
ZFA:0000155	ZFA:0000155	ZP:0004201	PATO:0001052
ZFA:0001285	ZFA:0005559	ZP:0004214	PATO:0002002
ZFA:0001400	ZFA:0001400	ZP:0004230	PATO:0001052
ZFA:0000007	ZFA:0000114	ZP:0004334	PATO:0002269
ZFA:0000477	ZFA:0000014	ZP:0004338	PATO:0000642
ZFA:0001285	ZFA:0009065	ZP:0004339	PATO:0002002
ZFA:0000243	ZFA:0009366	ZP:0004382	PATO:0002001
ZFA:0000086	ZFA:0000309	ZP:0004399	PATO:0001453
ZFA:0001073	ZFA:0001285	ZP:0004430	PATO:0002001
ZFA:0000217	ZFA:0001617	ZP:0004439	PATO:0002001
ZFA:0000471	ZFA:0000173	ZP:0004441	PATO:0001667
ZFA:0001286	ZFA:0000007	ZP:0004472	PATO:0002270
ZFA:0000014	ZFA:0000007	ZP:0004493	PATO:0002270
ZFA:0000477	ZFA:0000007	ZP:0004495	PATO:0002270
ZFA:0000559	ZFA:0001617	ZP:0004536	PATO:0001999
ZFA:0000559	ZFA:0001617	ZP:0004537	PATO:0002002
ZFA:0000007	ZFA:0009256	ZP:0004567	PATO:0001999
ZFA:0000033	ZFA:0000007	ZP:0004568	PATO:0002270
ZFA:0000155	ZFA:0001086	ZP:0004578	PATO:0002001
ZFA:0000155	ZFA:0009117	ZP:0004579	PATO:0002001
ZFA:0005223	ZFA:0009091	ZP:0004585	PATO:0002001
ZFA:0001094	ZFA:0000556	ZP:0004647	PATO:0002000
ZFA:0001094	ZFA:0005034	ZP:0004660	PATO:0002000
ZFA:0001058	ZFA:0001554	ZP:0004693	PATO:0002001
ZFA:0001161	ZFA:0001554	ZP:0004697	PATO:0002001
ZFA:0001162	ZFA:0001554	ZP:0004698	PATO:0002001
ZFA:0001173	ZFA:0001554	ZP:0004699	PATO:0002001
ZFA:0000368	ZFA:0001094	ZP:0004735	PATO:0001453
ZFA:0001078	ZFA:0009250	ZP:0004774	PATO:0001999
ZFA:0000046	ZFA:0001330	ZP:0004780	PATO:0001999
ZFA:0001464	ZFA:0009127	ZP:0004788	PATO:0002001
ZFA:0000012	ZFA:0001682	ZP:0004800	PATO:0002001
ZFA:0001114	ZFA:0001115	ZP:0004823	PATO:0000133
ZFA:0000019	ZFA:0009248	ZP:0004843	PATO:0002002
ZFA:0000029	ZFA:0009292	ZP:0004844	PATO:0002001
ZFA:0000295	ZFA:0009053	ZP:0004864	PATO:0002002
ZFA:0000368	ZFA:0009090	ZP:0004866	PATO:0002001
ZFA:0001117	ZFA:0009090	ZP:0004892	PATO:0002000
ZFA:0001156	ZFA:0009053	ZP:0004893	PATO:0002002
ZFA:0001177	ZFA:0001177	ZP:0004898	PATO:0001505
ZFA:0001202	ZFA:0009292	ZP:0004900	PATO:0002001
ZFA:0001285	ZFA:0005314	ZP:0004902	PATO:0002002
ZFA:0001316	ZFA:0009053	ZP:0004903	PATO:0002002
ZFA:0005003	ZFA:0001081	ZP:0004906	PATO:0001505
ZFA:0001094	ZFA:0000001	ZP:0004944	PATO:0002000
ZFA:0001061	ZFA:0000014	ZP:0005052	PATO:0001738
ZFA:0001061	ZFA:0001285	ZP:0005053	PATO:0001667
ZFA:0000109	ZFA:0009248	ZP:0005070	PATO:0002001
ZFA:0001205	ZFA:0001400	ZP:0005071	PATO:0000375
ZFA:0000009	ZFA:0000471	ZP:0005089	PATO:0000133
ZFA:0000155	ZFA:0009117	ZP:0005095	PATO:0001999
ZFA:0000737	ZFA:0001458	ZP:0005098	PATO:0002002
ZFA:0009256	ZFA:0005028	ZP:0005105	PATO:0002270
ZFA:0001114	ZFA:0001117	ZP:0005119	PATO:0000374
ZFA:0001117	ZFA:0000155	ZP:0005154	PATO:0002000
ZFA:0001117	ZFA:0000155	ZP:0005155	PATO:0002002
ZFA:0000547	ZFA:0001114	ZP:0005168	PATO:0001659
ZFA:0000471	ZFA:0000009	ZP:0005227	PATO:0002328
ZFA:0001460	ZFA:0001460	ZP:0005241	PATO:0000642
ZFA:0001555	ZFA:0001555	ZP:0005243	PATO:0000642
ZFA:0001094	ZFA:0009006	ZP:0005255	PATO:0002000
ZFA:0001115	ZFA:0001056	ZP:0005352	PATO:0002001
ZFA:0001559	ZFA:0001189	ZP:0005355	PATO:0002001
ZFA:0000152	ZFA:0009255	ZP:0005358	PATO:0002000
ZFA:0000152	ZFA:0009255	ZP:0005359	PATO:0002001
ZFA:0000023	ZFA:0000023	ZP:0005380	PATO:0000133
ZFA:0000023	ZFA:0000023	ZP:0005381	PATO:0001453
ZFA:0001261	ZFA:0001626	ZP:0005385	PATO:0002270
ZFA:0000217	ZFA:0000168	ZP:0005397	PATO:0002002
ZFA:0005409	ZFA:0000619	ZP:0005407	PATO:0002002
ZFA:0000029	ZFA:0009248	ZP:0005486	PATO:0002001
ZFA:0000123	ZFA:0009111	ZP:0005525	PATO:0002002
ZFA:0000243	ZFA:0009367	ZP:0005528	PATO:0002002
ZFA:0001616	ZFA:0001616	ZP:0005543	PATO:0000642
ZFA:0001094	ZFA:0000014	ZP:0005580	PATO:0002000
ZFA:0001261	ZFA:0009256	ZP:0005581	PATO:0002270
ZFA:0001319	ZFA:0005059	ZP:0005595	PATO:0002000
ZFA:0000152	ZFA:0009280	ZP:0005601	PATO:0001999
ZFA:0000152	ZFA:0009310	ZP:0005602	PATO:0001999
ZFA:0000155	ZFA:0009116	ZP:0005603	PATO:0002001
ZFA:0001216	ZFA:0001227	ZP:0005606	PATO:0002000
ZFA:0000559	ZFA:0001617	ZP:0005730	PATO:0002001
ZFA:0001260	ZFA:0009102	ZP:0005742	PATO:0002001
ZFA:0001260	ZFA:0009104	ZP:0005743	PATO:0002002
ZFA:0001260	ZFA:0009139	ZP:0005744	PATO:0002001
ZFA:0001370	ZFA:0009102	ZP:0005748	PATO:0002001
ZFA:0001370	ZFA:0009104	ZP:0005749	PATO:0002002
ZFA:0000007	ZFA:0000084	ZP:0005821	PATO:0002269
ZFA:0001061	ZFA:0001061	ZP:0005826	PATO:0001667
ZFA:0001410	ZFA:0000007	ZP:0005828	PATO:0002270
ZFA:0005314	ZFA:0009044	ZP:0005858	PATO:0002001
ZFA:0009256	ZFA:0000033	ZP:0005861	PATO:0002269
ZFA:0009256	ZFA:0000186	ZP:0005862	PATO:0002269
ZFA:0001267	ZFA:0001267	ZP:0005898	PATO:0001435
ZFA:0000152	ZFA:0001329	ZP:0005926	PATO:0001999
ZFA:0000152	ZFA:0001330	ZP:0005927	PATO:0001999
ZFA:0001094	ZFA:0000435	ZP:0005928	PATO:0002000
ZFA:0000007	ZFA:0000054	ZP:0005930	PATO:0002269
ZFA:0000152	ZFA:0009262	ZP:0005994	PATO:0002001
ZFA:0000009	ZFA:0009316	ZP:0006047	PATO:0002001
ZFA:0000114	ZFA:0009316	ZP:0006048	PATO:0002001
ZFA:0000471	ZFA:0009316	ZP:0006050	PATO:0002001
ZFA:0001094	ZFA:0000007	ZP:0006051	PATO:0002000
ZFA:0001073	ZFA:0001285	ZP:0006067	PATO:0002002
ZFA:0001360	ZFA:0001094	ZP:0006084	PATO:0001793
ZFA:0005169	ZFA:0005169	ZP:0006114	PATO:0001505
ZFA:0000084	ZFA:0000007	ZP:0006124	PATO:0002269
ZFA:0000329	ZFA:0009158	ZP:0006149	PATO:0002269
ZFA:0000084	ZFA:0001094	ZP:0006167	PATO:0001646
ZFA:0001115	ZFA:0001285	ZP:0006194	PATO:0002083
ZFA:0001094	ZFA:0001501	ZP:0006202	PATO:0001999
ZFA:0001094	ZFA:0001613	ZP:0006203	PATO:0001999
ZFA:0000143	ZFA:0009262	ZP:0006261	PATO:0001999
ZFA:0000143	ZFA:0009262	ZP:0006262	PATO:0002000
ZFA:0000143	ZFA:0009275	ZP:0006263	PATO:0002000
ZFA:0000143	ZFA:0009275	ZP:0006264	PATO:0002001
ZFA:0000152	ZFA:0001466	ZP:0006269	PATO:0002000
ZFA:0009094	ZFA:0005124	ZP:0006289	PATO:0001453
ZFA:0009399	ZFA:0005124	ZP:0006305	PATO:0001453
ZFA:0000008	ZFA:0009000	ZP:0006360	PATO:0002001
ZFA:0001365	ZFA:0001365	ZP:0006411	PATO:0000642
ZFA:0000046	ZFA:0009275	ZP:0006444	PATO:0002001
ZFA:0000107	ZFA:0000035	ZP:0006445	PATO:0002000
ZFA:0000144	ZFA:0001464	ZP:0006464	PATO:0000040
ZFA:0000105	ZFA:0005145	ZP:0006533	PATO:0001505
ZFA:0009183	ZFA:0009183	ZP:0006537	PATO:0001505
ZFA:0009177	ZFA:0009177	ZP:0006595	PATO:0001531
ZFA:0000217	ZFA:0001617	ZP:0006632	PATO:0002083
ZFA:0000007	ZFA:0001267	ZP:0006637	PATO:0002269
ZFA:0000007	ZFA:0005024	ZP:0006638	PATO:0002269
ZFA:0000114	ZFA:0000007	ZP:0006659	PATO:0002270
ZFA:0000152	ZFA:0009301	ZP:0006676	PATO:0001999
ZFA:0000408	ZFA:0009301	ZP:0006678	PATO:0002001
ZFA:0000418	ZFA:0009301	ZP:0006679	PATO:0001999
ZFA:0000458	ZFA:0009301	ZP:0006681	PATO:0002001
ZFA:0000470	ZFA:0009301	ZP:0006682	PATO:0001999
ZFA:0001285	ZFA:0005295	ZP:0006685	PATO:0001505
ZFA:0000254	ZFA:0009096	ZP:0006687	PATO:0002001
ZFA:0001390	ZFA:0009096	ZP:0006688	PATO:0002001
ZFA:0001390	ZFA:0009102	ZP:0006689	PATO:0002001
ZFA:0001390	ZFA:0009104	ZP:0006690	PATO:0001999
ZFA:0001390	ZFA:0009104	ZP:0006691	PATO:0002001
ZFA:0001630	ZFA:0009031	ZP:0006779	PATO:0002002
ZFA:0009309	ZFA:0009256	ZP:0006831	PATO:0001470
ZFA:0000094	ZFA:0009324	ZP:0006877	PATO:0002001
ZFA:0000075	ZFA:0009052	ZP:0006939	PATO:0002001
ZFA:0000075	ZFA:0009247	ZP:0006940	PATO:0001999
ZFA:0000692	ZFA:0001205	ZP:0006947	PATO:0001961
ZFA:0001400	ZFA:0001422	ZP:0006951	PATO:0000642
ZFA:0000138	ZFA:0000138	ZP:0007054	PATO:0000374
ZFA:0009380	ZFA:0001100	ZP:0007079	PATO:0002261
ZFA:0000014	ZFA:0009303	ZP:0007101	PATO:0002002
ZFA:0000477	ZFA:0009303	ZP:0007103	PATO:0001999
ZFA:0001285	ZFA:0001057	ZP:0007107	PATO:0002002
ZFA:0001117	ZFA:0005145	ZP:0007114	PATO:0002002
ZFA:0000368	ZFA:0009183	ZP:0007143	PATO:0002270
ZFA:0001069	ZFA:0009183	ZP:0007144	PATO:0002270
ZFA:0000094	ZFA:0009014	ZP:0007158	PATO:0002001
ZFA:0005124	ZFA:0009034	ZP:0007165	PATO:0002001
ZFA:0009256	ZFA:0000114	ZP:0007182	PATO:0002269
ZFA:0000694	ZFA:0000694	ZP:0007223	PATO:0000374
ZFA:0000694	ZFA:0005142	ZP:0007224	PATO:0001163
ZFA:0001137	ZFA:0000694	ZP:0007226	PATO:0002002
ZFA:0001140	ZFA:0000694	ZP:0007227	PATO:0002001
ZFA:0000007	ZFA:0000084	ZP:0007249	PATO:0002270
ZFA:0001094	ZFA:0000166	ZP:0007266	PATO:0002000
ZFA:0000604	ZFA:0009181	ZP:0007276	PATO:0002001
ZFA:0001114	ZFA:0000007	ZP:0007278	PATO:0002270
ZFA:0001261	ZFA:0000007	ZP:0007280	PATO:0002270
ZFA:0005003	ZFA:0009181	ZP:0007284	PATO:0002001
ZFA:0001094	ZFA:0009091	ZP:0007331	PATO:0002000
ZFA:0001094	ZFA:0001285	ZP:0007345	PATO:0002001
ZFA:0000101	ZFA:0009301	ZP:0007356	PATO:0002000
ZFA:0000101	ZFA:0009301	ZP:0007357	PATO:0002001
ZFA:0000119	ZFA:0009255	ZP:0007359	PATO:0002000
ZFA:0000119	ZFA:0009255	ZP:0007360	PATO:0002001
ZFA:0000418	ZFA:0009301	ZP:0007361	PATO:0002000
ZFA:0000418	ZFA:0009301	ZP:0007362	PATO:0002001
ZFA:0000539	ZFA:0009301	ZP:0007363	PATO:0002001
ZFA:0000117	ZFA:0009307	ZP:0007366	PATO:0002002
ZFA:0000175	ZFA:0000940	ZP:0007385	PATO:0002002
ZFA:0000175	ZFA:0009073	ZP:0007386	PATO:0002001
ZFA:0001115	ZFA:0000940	ZP:0007387	PATO:0002002
ZFA:0001094	ZFA:0000108	ZP:0007404	PATO:0002000
ZFA:0005146	ZFA:0009301	ZP:0007422	PATO:0002001
ZFA:0001400	ZFA:0001400	ZP:0007470	PATO:0002327
ZFA:0000034	ZFA:0000940	ZP:0007518	PATO:0002002
ZFA:0000175	ZFA:0000105	ZP:0007520	PATO:0002261
ZFA:0000175	ZFA:0009135	ZP:0007522	PATO:0001999
ZFA:0000075	ZFA:0009067	ZP:0007580	PATO:0002001
ZFA:0005559	ZFA:0009303	ZP:0007583	PATO:0002002
ZFA:0001516	ZFA:0001516	ZP:0007596	PATO:0000375
ZFA:0001516	ZFA:0001516	ZP:0007597	PATO:0001852
ZFA:0000653	ZFA:0000418	ZP:0007607	PATO:0000642
ZFA:0000042	ZFA:0000051	ZP:0007623	PATO:0000375
ZFA:0000051	ZFA:0000051	ZP:0007624	PATO:0000374
ZFA:0001094	ZFA:0005605	ZP:0007659	PATO:0002000
ZFA:0000084	ZFA:0000007	ZP:0007666	PATO:0002270
ZFA:0000471	ZFA:0000007	ZP:0007667	PATO:0002270
ZFA:0001695	ZFA:0001695	ZP:0007681	PATO:0000642
ZFA:0000694	ZFA:0001239	ZP:0007755	PATO:0001453
ZFA:0001651	ZFA:0005621	ZP:0007765	PATO:0001453
ZFA:0001652	ZFA:0001514	ZP:0007766	PATO:0001453
ZFA:0001076	ZFA:0005125	ZP:0007787	PATO:0001999
ZFA:0001400	ZFA:0001522	ZP:0007804	PATO:0000642
ZFA:0000046	ZFA:0000144	ZP:0007852	PATO:0001453
ZFA:0001613	ZFA:0001517	ZP:0007914	PATO:0002000
ZFA:0001613	ZFA:0001518	ZP:0007915	PATO:0002000
ZFA:0001613	ZFA:0001519	ZP:0007916	PATO:0002000
ZFA:0001613	ZFA:0001520	ZP:0007917	PATO:0002000
ZFA:0001613	ZFA:0001521	ZP:0007918	PATO:0002000
ZFA:0000250	ZFA:0000284	ZP:0007954	PATO:0000642
ZFA:0000250	ZFA:0000674	ZP:0007955	PATO:0000642
ZFA:0000674	ZFA:0000284	ZP:0007961	PATO:0000642
ZFA:0001635	ZFA:0000476	ZP:0007969	PATO:0002002
ZFA:0000009	ZFA:0000471	ZP:0007973	PATO:0000374
ZFA:0009115	ZFA:0009115	ZP:0007991	PATO:0001505
ZFA:0000208	ZFA:0009000	ZP:0008014	PATO:0001999
