term,label
http://purl.obolibrary.org/obo/ZP_0010106,abnormal(ly) abnormal anterior commissure axon extension
http://purl.obolibrary.org/obo/ZP_0010872,abnormal(ly) morphology primary motor neuron
http://purl.obolibrary.org/obo/ZP_0016111,abnormal(ly) curved caudal fin skeleton
http://purl.obolibrary.org/obo/ZP_0012350,abnormal(ly) process quality Rohon-Beard neuron neuronal action potential
http://purl.obolibrary.org/obo/ZP_0010923,abnormal(ly) process quality dorsal aorta sprouting angiogenesis
http://purl.obolibrary.org/obo/ZP_0007586,abnormal(ly) disrupted sympathetic ganglion development
http://purl.obolibrary.org/obo/ZP_0012401,abnormal(ly) poorly differentiated retinal bipolar neuron
http://purl.obolibrary.org/obo/ZP_0009064,"abnormal(ly) decreased length gut epithelium chromosome, telomeric region"
http://purl.obolibrary.org/obo/ZP_0007637,abnormal(ly) occurrence quality TOR signaling
http://purl.obolibrary.org/obo/ZP_0007637,abnormal(ly) occurrence TOR signaling
http://purl.obolibrary.org/obo/ZP_0015369,abnormal(ly) present pronephric distal late tubule
http://purl.obolibrary.org/obo/ZP_0009115,abnormal(ly) discolored intestine
http://purl.obolibrary.org/obo/ZP_0009881,abnormal(ly) increased thickness gut posterior region
http://purl.obolibrary.org/obo/ZP_0002788,abnormal(ly) decreased thickness intestinal epithelium
http://purl.obolibrary.org/obo/ZP_0004266,abnormal(ly) decreased process quality axis elongation
http://purl.obolibrary.org/obo/ZP_0009932,abnormal(ly) decreased process quality caudal fin blood circulation
http://purl.obolibrary.org/obo/ZP_0002839,abnormal(ly) ossified hyomandibula
http://purl.obolibrary.org/obo/ZP_0016576,abnormal(ly) hypoplastic optic cup
http://purl.obolibrary.org/obo/ZP_0004317,abnormal(ly) apoptotic posterior intestine
http://purl.obolibrary.org/obo/ZP_0012049,abnormal(ly) elongated bulbus arteriosus
http://purl.obolibrary.org/obo/ZP_0018054,abnormal(ly) disrupted endothelial to hematopoietic transition
http://purl.obolibrary.org/obo/ZP_0016627,abnormal(ly) disorganized ventral fin fold endothelial cell
http://purl.obolibrary.org/obo/ZP_0006561,abnormal(ly) attenuate eye
http://purl.obolibrary.org/obo/ZP_0014293,abnormal(ly) physical object quality myotome muscle tendon junction
http://purl.obolibrary.org/obo/ZP_0012866,abnormal(ly) occurrence convergent extension involved in gastrulation
http://purl.obolibrary.org/obo/ZP_0018105,abnormal(ly) has fewer parts of type trigeminal ganglion towards motor neuron
http://purl.obolibrary.org/obo/ZP_0006612,abnormal(ly) present in fewer numbers in organism axial vasculature blood vessel endothelial cell
http://purl.obolibrary.org/obo/ZP_0006612,abnormal(ly) decreased amount axial vasculature blood vessel endothelial cell
http://purl.obolibrary.org/obo/ZP_0014344,abnormal(ly) size shield
http://purl.obolibrary.org/obo/ZP_0012917,abnormal(ly) rate cell migration involved in gastrulation
http://purl.obolibrary.org/obo/ZP_0003190,abnormal(ly) decreased size fin
http://purl.obolibrary.org/obo/ZP_0001763,abnormal(ly) disorganized retinal ganglion cell layer
http://purl.obolibrary.org/obo/ZP_0003241,abnormal(ly) disrupted lipoprotein catabolic process
http://purl.obolibrary.org/obo/ZP_0001814,abnormal(ly) oriented towards Kupffer's vesicle ciliated cell towards Kupffer's vesicle anterior region
http://purl.obolibrary.org/obo/ZP_0011024,abnormal(ly) has fewer parts of type pronephric tubule towards pronephric tubule microvillus
http://purl.obolibrary.org/obo/ZP_0011790,abnormal(ly) disorganized trunk neural crest cell
http://purl.obolibrary.org/obo/ZP_0011841,abnormal(ly) decreased process quality facial lymphatic vessel lymphangiogenesis
http://purl.obolibrary.org/obo/ZP_0008555,abnormal(ly) decreased process quality collagen biosynthetic process
http://purl.obolibrary.org/obo/ZP_0008606,abnormal(ly) present in fewer numbers in organism spinal cord compact myelin
