Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	UBERON:0003059	IAO:0000115	Unsegmented field of paraxial mesoderm present posterior to the most recently formed somite pair, from which somites will form.	
ERROR	duplicate_definition	ZFA:0000279	IAO:0000115	Unsegmented field of paraxial mesoderm present posterior to the most recently formed somite pair, from which somites will form.	
ERROR	duplicate_definition	UBERON:0000484	IAO:0000115	Unilaminar epithelium that consists of a single layer of cuboidal cells.	
ERROR	duplicate_definition	ZFA:0001497	IAO:0000115	Unilaminar epithelium that consists of a single layer of cuboidal cells.	
ERROR	duplicate_definition	ZFA:0000072	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000073	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000074	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000156	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000157	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000725	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000726	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000727	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000728	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000730	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000731	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000732	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000733	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000851	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000852	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000853	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000854	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000855	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000856	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000857	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000858	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000974	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000975	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000976	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000977	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000978	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000980	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000981	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000982	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000983	IAO:0000115	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome.	
ERROR	duplicate_definition	ZFA:0000767	IAO:0000115	Somite-derived body wall muscle present ventral to the horizontal myoseptum.	
ERROR	duplicate_definition	ZFA:0000768	IAO:0000115	Somite-derived body wall muscle present ventral to the horizontal myoseptum.	
ERROR	duplicate_definition	ZFA:0000769	IAO:0000115	Somite-derived body wall muscle present ventral to the horizontal myoseptum.	
ERROR	duplicate_definition	ZFA:0000770	IAO:0000115	Somite-derived body wall muscle present ventral to the horizontal myoseptum.	
ERROR	duplicate_definition	ZFA:0000771	IAO:0000115	Somite-derived body wall muscle present ventral to the horizontal myoseptum.	
ERROR	duplicate_definition	ZFA:0000772	IAO:0000115	Somite-derived body wall muscle present ventral to the horizontal myoseptum.	
