defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id
ZP:0100150	ZFA:0009034	ZFA:0000151	PATO:0000460
ZP:0100153	GO:0008003	ZFA:0000105	PATO:0000462
ZP:0100155	GO:0031513	ZFA:0009367	PATO:0000462
ZP:0100156	GO:0005605	ZFA:0000135	PATO:0000462
ZP:0100182	GO:0007067	ZFA:0000152	PATO:0002052
ZP:0100206	GO:0031512	ZFA:0000001	PATO:0000573
ZP:0100207	GO:0030018	ZFA:0009316	PATO:0000573
ZP:0100208	GO:0072372	ZFA:0000155	PATO:0000573
ZP:0100216	GO:0007067	ZFA:0000075	PATO:0002051
ZP:0100274	GO:0032982	ZFA:0001056	PATO:0000141
