defined_class	entity	quality
http://purl.obolibrary.org/obo/ZP_0012975	http://purl.obolibrary.org/obo/ZFA_0009117	http://purl.obolibrary.org/obo/PATO_0002006
http://purl.obolibrary.org/obo/ZP_0010148	http://purl.obolibrary.org/obo/ZFA_0007037	http://purl.obolibrary.org/obo/PATO_0001200
http://purl.obolibrary.org/obo/ZP_0014396	http://purl.obolibrary.org/obo/ZFA_0000042	http://purl.obolibrary.org/obo/PATO_0001879
http://purl.obolibrary.org/obo/ZP_0009160	http://purl.obolibrary.org/obo/ZFA_0001089	http://purl.obolibrary.org/obo/PATO_0001879
http://purl.obolibrary.org/obo/ZP_0003021	http://purl.obolibrary.org/obo/ZFA_0001056	http://purl.obolibrary.org/obo/PATO_0001879
http://purl.obolibrary.org/obo/ZP_0001461	http://purl.obolibrary.org/obo/ZFA_0000155	http://purl.obolibrary.org/obo/PATO_0001879
http://purl.obolibrary.org/obo/ZP_0001392	http://purl.obolibrary.org/obo/ZFA_0001462	http://purl.obolibrary.org/obo/PATO_0001879
http://purl.obolibrary.org/obo/ZP_0002952	http://purl.obolibrary.org/obo/ZFA_0000610	http://purl.obolibrary.org/obo/PATO_0001879
http://purl.obolibrary.org/obo/ZP_0007426	http://purl.obolibrary.org/obo/ZFA_0000008	http://purl.obolibrary.org/obo/PATO_0002224
http://purl.obolibrary.org/obo/ZP_0003809	http://purl.obolibrary.org/obo/ZFA_0000133	http://purl.obolibrary.org/obo/PATO_0001201
http://purl.obolibrary.org/obo/ZP_0001327	http://purl.obolibrary.org/obo/ZFA_0000012	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0016638	http://purl.obolibrary.org/obo/GO_0009953	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0011037	http://purl.obolibrary.org/obo/GO_0090504	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0007887	http://purl.obolibrary.org/obo/GO_0060322	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0016791	http://purl.obolibrary.org/obo/ZFA_0009141	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0006967	http://purl.obolibrary.org/obo/GO_0097475	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0016794	http://purl.obolibrary.org/obo/ZFA_0009127	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0005882	http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0007906	http://purl.obolibrary.org/obo/GO_0036269	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0011044	http://purl.obolibrary.org/obo/ZFA_0001069	http://purl.obolibrary.org/obo/PATO_0000460
http://purl.obolibrary.org/obo/ZP_0020196	http://purl.obolibrary.org/obo/ZFA_0009262	http://purl.obolibrary.org/obo/PATO_0015001
http://purl.obolibrary.org/obo/ZP_0020953	http://purl.obolibrary.org/obo/ZFA_0001464	http://purl.obolibrary.org/obo/PATO_0015001
http://purl.obolibrary.org/obo/ZP_0020197	http://purl.obolibrary.org/obo/ZFA_0009275	http://purl.obolibrary.org/obo/PATO_0015001
http://purl.obolibrary.org/obo/ZP_0021470	http://purl.obolibrary.org/obo/ZFA_0001069	http://purl.obolibrary.org/obo/PATO_0015001
http://purl.obolibrary.org/obo/ZP_0017297	http://purl.obolibrary.org/obo/ZFA_0000001	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0000068	http://purl.obolibrary.org/obo/ZFA_0009149	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0000904	http://purl.obolibrary.org/obo/ZFA_0001205	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0006109	http://purl.obolibrary.org/obo/ZFA_0009280	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0003314	http://purl.obolibrary.org/obo/ZFA_0009150	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0020146	http://purl.obolibrary.org/obo/ZFA_0009133	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0007159	http://purl.obolibrary.org/obo/ZFA_0009046	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0004805	http://purl.obolibrary.org/obo/ZFA_0000713	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0021728	http://purl.obolibrary.org/obo/ZFA_0009277	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0003629	http://purl.obolibrary.org/obo/ZFA_0005435	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0005692	http://purl.obolibrary.org/obo/ZFA_0000003	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0006188	http://purl.obolibrary.org/obo/ZFA_0009216	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0002695	http://purl.obolibrary.org/obo/ZFA_0009255	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0003912	http://purl.obolibrary.org/obo/ZFA_0001162	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0019896	http://purl.obolibrary.org/obo/ZFA_0000037	http://purl.obolibrary.org/obo/PATO_0000462
http://purl.obolibrary.org/obo/ZP_0010920	http://purl.obolibrary.org/obo/ZFA_0005604	http://purl.obolibrary.org/obo/PATO_0000462
