defined_class	affected_entity_1_super	pato_id	affected_entity_2_sub	affected_entity_2_super
ZP:0019709	ZFA:0000022	PATO:0002000	GO:0031514	ZFA:0000022
ZP:0002796	ZFA:0009165	PATO:0001999	GO:0030175	ZFA:0009165
ZP:0009462	ZFA:0009036	PATO:0002001	GO:0005911	ZFA:0009036
ZP:0012906	ZFA:0000554	PATO:0001905	ZFA:0009358	ZFA:0000554
ZP:0019610	ZFA:0000588	PATO:0002001	ZFA:0009011	ZFA:0000588
ZP:0020553	ZFA:0001648	PATO:0002269	BSPO:0000072	ZFA:0000051
ZP:0014051	ZFA:0000135	PATO:0002002	ZFA:0009000	ZFA:0000135
ZP:0017020	ZFA:0001114	PATO:0002001	ZFA:0009138	ZFA:0001114
ZP:0014008	ZFA:0005024	PATO:0001999	GO:0030175	ZFA:0009036
ZP:0017132	ZFA:0001114	PATO:0001051	BSPO:0000384	ZFA:0001115
ZP:0009252	ZFA:0000114	PATO:0002168	BSPO:0000067	ZFA:0001094
ZP:0009251	ZFA:0000114	PATO:0002168	BSPO:0000007	ZFA:0001094
ZP:0010419	ZFA:0000150	PATO:0002000	GO:0005903	ZFA:0009034
ZP:0017189	ZFA:0001094	PATO:0001999	GO:0043005	ZFA:0009310
ZP:0020732	ZFA:0000051	PATO:0001999	GO:0005929	ZFA:0007068
ZP:0022960	ZFA:0001557	PATO:0001905	GO:0036053	ZFA:0005285
ZP:0020762	ZFA:0000242	PATO:0002002	GO:0005811	ZFA:0000123
ZP:0009151	ZFA:0009244	PATO:0002001	GO:0043005	ZFA:0009244
ZP:0009141	ZFA:0005145	PATO:0002001	GO:0016529	ZFA:0009114
ZP:0017278	ZFA:0001056	PATO:0002000	GO:0030016	ZFA:0009115
ZP:0017282	ZFA:0001673	PATO:0002001	GO:0042995	ZFA:0001673
ZP:0007908	ZFA:0000940	PATO:0002001	GO:0060091	ZFA:0000243
ZP:0022898	ZFA:0009275	PATO:0001905	GO:0001750	ZFA:0009275
ZP:0022871	ZFA:0000014	PATO:0002001	ZFA:0009181	ZFA:0000014
ZP:0022870	ZFA:0000014	PATO:0001905	ZFA:0009181	ZFA:0000014
ZP:0022860	ZFA:0009154	PATO:0001999	GO:0001917	ZFA:0009154
ZP:0002398	ZFA:0000152	PATO:0001999	GO:0005813	ZFA:0009000
ZP:0002397	ZFA:0000152	PATO:0002001	ZFA:0009000	ZFA:0000152
ZP:0009099	ZFA:0009306	PATO:0001852	BSPO:0000063	ZFA:0001261
ZP:0017335	ZFA:0001056	PATO:0002001	GO:0030016	ZFA:0009115
ZP:0009034	ZFA:0000242	PATO:0002001	ZFA:0009354	ZFA:0000669
ZP:0009033	ZFA:0000242	PATO:0002001	ZFA:0001287	ZFA:0000669
ZP:0012567	ZFA:0009221	PATO:0002002	GO:0044316	ZFA:0009221
ZP:0012515	ZFA:0001108	PATO:0002001	GO:0030424	ZFA:0001108
ZP:0000466	ZFA:0000114	PATO:0000133	BSPO:0000017	ZFA:0001094
ZP:0000467	ZFA:0000114	PATO:0001653	BSPO:0000075	ZFA:0001094
ZP:0000468	ZFA:0000360	PATO:0001653	BSPO:0000075	ZFA:0001094
ZP:0022777	ZFA:0009398	PATO:0002001	GO:0030027	ZFA:0009398
ZP:0022766	ZFA:0000588	PATO:0002002	ZFA:0009011	ZFA:0000588
ZP:0022660	ZFA:0001558	PATO:0001905	ZFA:0005243	ZFA:0001558
ZP:0012394	ZFA:0001329	PATO:0002001	GO:0030425	ZFA:0009310
ZP:0012392	ZFA:0000119	PATO:0002001	ZFA:0009315	ZFA:0000119
ZP:0014600	ZFA:0000001	PATO:0002001	GO:0036156	ZFA:0009032
ZP:0014601	ZFA:0000001	PATO:0002001	GO:0036157	ZFA:0009032
ZP:0007521	ZFA:0000175	PATO:0001193	GO:0005604	ZFA:0000105
ZP:0017798	ZFA:0000588	PATO:0001905	ZFA:0009248	ZFA:0000588
ZP:0017787	ZFA:0000051	PATO:0001905	ZFA:0009168	ZFA:0000051
ZP:0017781	ZFA:0000588	PATO:0002002	ZFA:0009248	ZFA:0000588
ZP:0017780	ZFA:0000588	PATO:0002001	ZFA:0009168	ZFA:0000588
ZP:0017775	ZFA:0000051	PATO:0002002	ZFA:0009168	ZFA:0000051
ZP:0017738	ZFA:0000588	PATO:0002001	ZFA:0009248	ZFA:0000588
ZP:0017737	ZFA:0000588	PATO:0002002	ZFA:0009168	ZFA:0000588
ZP:0017731	ZFA:0000051	PATO:0001905	ZFA:0009366	ZFA:0000051
ZP:0017730	ZFA:0000051	PATO:0002001	ZFA:0009168	ZFA:0000051
ZP:0022412	ZFA:0009149	PATO:0001905	GO:0032281	ZFA:0009149
ZP:0012271	ZFA:0005110	PATO:0002001	ZFA:0009065	ZFA:0000385
ZP:0010969	ZFA:0000150	PATO:0002001	GO:0005929	ZFA:0000150
ZP:0010968	ZFA:0000001	PATO:0002001	GO:0005929	ZFA:0000001
ZP:0022525	ZFA:0009115	PATO:0001905	GO:0005901	ZFA:0009115
ZP:0012057	ZFA:0000713	PATO:0002001	ZFA:0009052	ZFA:0000713
ZP:0012032	ZFA:0000075	PATO:0002001	ZFA:0009292	ZFA:0001083
ZP:0012017	ZFA:0001285	PATO:0002002	GO:0030175	ZFA:0001285
ZP:0007341	ZFA:0000123	PATO:0001793	BSPO:0000013	ZFA:0001094
