Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/zp.owl	dc:description	
ERROR	multiple_definitions	independent continuant	definition	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en
ERROR	multiple_definitions	independent continuant	definition	b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en
ERROR	multiple_definitions	specifically dependent continuant	definition	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en
ERROR	multiple_definitions	specifically dependent continuant	definition	b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en
ERROR	multiple_definitions	part_of	definition	a core relation that holds between a part and its whole
ERROR	multiple_definitions	part_of	definition	a core relation that holds between a part and its whole@en
ERROR	multiple_definitions	has_part	definition	Q1 has_part Q2 if and only if: every instance of Q1 is a quality_of an entity that has_quality some Q2.
ERROR	multiple_definitions	has_part	definition	a core relation that holds between a whole and its part
ERROR	multiple_definitions	has_part	definition	a core relation that holds between a whole and its part@en
ERROR	multiple_definitions	preceded_by	definition	X preceded_by Y iff: end(Y) before_or_simultaneous_with start(X).
ERROR	multiple_definitions	preceded_by	definition	x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.@en
ERROR	multiple_definitions	anterior_to	definition	x anterior to y iff x is further along the antero-posterior axis than y, towards the head. An antero-posterior axis is an axis that extends through an organism from head end to opposite end of body or tail.
ERROR	multiple_definitions	anterior_to	definition	x anterior_to y iff x is further along the antero-posterior axis than y, towards the head. An antero-posterior axis is an axis that bisects an organism from head end to opposite end of body or tail: bearer.
ERROR	multiple_definitions	distal_to	definition	x distal to y iff x is further along the proximo-distal axis than y, towards the appendage tip. A proximo-distal axis extends from tip of an appendage (distal) to where it joins the body (proximal).
ERROR	multiple_definitions	distal_to	definition	x distal_to y iff x is further along the proximo-distal axis than y, towards the appendage tip. A proximo-distal axis extends from tip of an appendage (distal) to where it joins the body (proximal).
ERROR	multiple_definitions	dorsal_to	definition	x dorsal to y iff x is further along the dorso-ventral axis than y, towards the back. A dorso-ventral axis is an axis that extends through an organism from back (e.g. spinal column) to front (e.g. belly).
ERROR	multiple_definitions	dorsal_to	definition	x dorsal_to y iff x is further along the dorso-ventral axis than y, towards the back. A dorso-ventral axis is an axis that bisects an organism from back (e.g. spinal column) to front (e.g. belly).
ERROR	multiple_definitions	posterior to	definition	x posterior to y iff x is further along the antero-posterior axis than y, towards the body/tail. An antero-posterior axis is an axis that extends through an organism from head end to opposite end of body or tail.
ERROR	multiple_definitions	posterior to	definition	x posterior_to y iff x is further along the antero-posterior axis than y, towards the body/tail. An antero-posterior axis is an axis that bisects an organism from head end to opposite end of body or tail.
ERROR	multiple_definitions	proximal_to	definition	x proximal to y iff x is closer to the point of attachment with the body than y.
ERROR	multiple_definitions	proximal_to	definition	x proximal_to y iff x is closer to the point of attachment with the body than y.
ERROR	multiple_definitions	ventral_to	definition	x ventral to y iff x is further along the dorso-ventral axis than y, towards the front. A dorso-ventral axis is an axis that extends through an organism from back (e.g. spinal column) to front (e.g. belly).
ERROR	multiple_definitions	ventral_to	definition	x ventral_to y iff x is further along the dorso-ventral axis than y, towards the front. A dorso-ventral axis is an axis that bisects an organism from back (e.g. spinal column) to front (e.g. belly).
ERROR	multiple_definitions	in_left_side_of	definition	X in left side of Y <=> if Y is subdivided into two left and right portions, X is part of the left portion.
ERROR	multiple_definitions	in_left_side_of	definition	X in_left_side_of Y <=> if Y is subdivided into left and right portions, X is part_of the left portion.
ERROR	multiple_definitions	in_right_side_of	definition	X in right side of Y <=> if Y is subdivided into two left and right portions, X is part of the right portion.
ERROR	multiple_definitions	in_right_side_of	definition	X in_right_side_of Y <=> if Y is subdivided into left and right portions, X is part_of the right portion.
ERROR	multiple_definitions	in posterior side of	definition	X posterior side of Y <=> if Y is subdivided into two anterior and posterior portions, X is part of the posterior portion.
ERROR	multiple_definitions	in posterior side of	definition	X posterior_side_of Y <=> if Y is subdivided into two anterior and posterior portions, X is part_of the posterior portion.
ERROR	multiple_definitions	in_anterior_side_of	definition	X anterior side of Y <=> if Y is subdivided into two anterior and posterior portions, X is part of the anterior portion.
ERROR	multiple_definitions	in_anterior_side_of	definition	X anterior_side_of Y <=> if Y is subdivided into two anterior and posterior portions, X is part_of the anterior portion.
ERROR	multiple_definitions	in_proximal_side_of	definition	X proximal_side_of Y <=> if Y is subdivided into distal and proximal portions, X is part_of the proximal portion.
ERROR	multiple_definitions	in_proximal_side_of	definition	x in proximal side of y <=> if y is subdivided into two proximal and distal portions, y is part of the proximal portion.
ERROR	multiple_definitions	in distal side of	definition	X distal_side_of Y <=> if Y is subdivided into distal and proximal portions, X is part_of the distal portion.
ERROR	multiple_definitions	in distal side of	definition	x in distal side of y <=> if y is subdivided into two proximal and distal portions, y is part of the distal portion.
ERROR	multiple_definitions	in lateral side of	definition	X in lateral side of Y <=> if X is in left side of Y or X is in right side of Y. X is often, but not always a paired structure
ERROR	multiple_definitions	in lateral side of	definition	X in_lateral_side_of Y <=> if X is in_left_side_of Y or X is in_right_side_of Y. X is often, but not always a paired structure.
ERROR	multiple_definitions	proximalmost part of	definition	X proximalmost part of Y <=> X is in proximal side of Y and X is adjacent to the proximal boundary of Y
ERROR	multiple_definitions	proximalmost part of	definition	X proximalmost_part_of Y <=> X is part_of Y and X is adjacent_to the proximal boundary of Y.
ERROR	multiple_definitions	immediately deep to	definition	This relation holds when both the deep_to and ajdacent_to relationship similarly hold.
ERROR	multiple_definitions	immediately deep to	definition	x immediately deep to y iff x deep_to y and x is contiguous with y.
ERROR	multiple_definitions	overlaps	definition	x overlaps y if and only if there exists some z such that x has part z and z part of y
ERROR	multiple_definitions	overlaps	definition	x overlaps y iff they have some part in common.
ERROR	multiple_definitions	only in taxon	definition	S only_in_taxon T iff: S SubClassOf in_taxon only T.
ERROR	multiple_definitions	only in taxon	definition	x only in taxon y if and only if x is in taxon y, and there is no other organism z such that y!=z a and x is in taxon z.
ERROR	multiple_definitions	connected to	definition	Binary relationship: x connected_to y if and only if there exists some z such that z connects x and y in a ternary connected_to(x,y,z) relationship.
ERROR	multiple_definitions	connected to	definition	a is connected to b if and only if a and b are discrete structure, and there exists some connecting structure c, such that c connects a and b
ERROR	multiple_definitions	connects	definition	Binary relationship: z connects x if and only if there exists some y such that z connects x and y in a ternary connected_to(x,y,z) relationship.
ERROR	multiple_definitions	connects	definition	c connects a if and only if there exist some b such that a and b are similar parts of the same system, and c connects b, specifically, c connects a with b. When one structure connects two others it unites some aspect of the function or role they play within the system.
ERROR	multiple_definitions	supplies	definition	Relation between an arterial structure and another structure, where the arterial structure acts as a conduit channeling fluid, substance or energy.
ERROR	multiple_definitions	supplies	definition	relation between an artery and the structure is supplies with blood.
ERROR	multiple_definitions	surrounded by	definition	x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x
ERROR	multiple_definitions	surrounded by	definition	x surrounded_by y iff: x is adjacent to y and for every region r adjacent to x, r overlaps y.
ERROR	multiple_definitions	adjacent to	definition	x adjacent to y if and only if x and y share a boundary.
ERROR	multiple_definitions	adjacent to	definition	x adjacent_to y iff: x and y share a boundary.
ERROR	multiple_definitions	surrounds	definition	inverse of surrounded by
ERROR	multiple_definitions	surrounds	definition	inverse of surrounded_by.
ERROR	multiple_definitions	starts	definition	Relation between occurrents, shares a start boundary with.
ERROR	multiple_definitions	starts	definition	inverse of starts with
ERROR	multiple_definitions	ends	definition	Relation between occurrents, shares an end boundary with.
ERROR	multiple_definitions	ends	definition	inverse of ends with
ERROR	multiple_definitions	has developmental contribution from	definition	x has developmental contribution from y iff x has some part z such that z develops from y@en
ERROR	multiple_definitions	has developmental contribution from	definition	x has developmental contribution from y iff x has some part z such that z develops from y.
ERROR	multiple_definitions	developmentally induced by	definition	t1 developmentally_induced_by t2 if there is a process of organ induction (GO:0001759) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor tissue type T to T', where T' develops_from T.
ERROR	multiple_definitions	developmentally induced by	definition	t1 induced_by t2 if there is a process of developmental induction (GO:0031128) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor anatomical structure type T to T', where T' develops_from T
ERROR	multiple_definitions	has muscle origin	definition	m has_muscle_origin s iff m is attached_to s, and it is the case that when m contracts, s does not move. The site of the origin tends to be more proximal and have greater mass than what the other end attaches to.@en
ERROR	multiple_definitions	has muscle origin	definition	m has_muscle_origin s iff m is attaches_to s, and it is the case that when m contracts, s does not move. The site of the origin tends to be more proximal and have greater mass than what the other end attaches to.
ERROR	multiple_definitions	has muscle insertion	definition	m has_muscle_insertion s iff m is attaches_to s, and it is the case that when m contracts, s moves. Insertions are usually connections of muscle via tendon to bone.
ERROR	multiple_definitions	has muscle insertion	definition	m has_muscle_insertion s iff m is attaches_to s, and it is the case that when m contracts, s moves. Insertions are usually connections of muscle via tendon to bone.@en
ERROR	multiple_definitions	has potential to developmentally contribute to	definition	x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y@en
ERROR	multiple_definitions	has potential to developmentally contribute to	definition	x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y.
ERROR	multiple_definitions	has potential to develop into	definition	x has the potential to develop into y iff x develops into y or if x is capable of developing into y@en
ERROR	multiple_definitions	has potential to develop into	definition	x has the potential to develop into y iff x develops into y or if x is capable of developing into y.
ERROR	multiple_definitions	has potential to directly develop into	definition	x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y@en
ERROR	multiple_definitions	has potential to directly develop into	definition	x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y.
ERROR	multiple_definitions	composed primarily of	definition	x composed_primarily_of y if and only if more than half of the mass of x is made from y or units of the same type as y.
ERROR	multiple_definitions	composed primarily of	definition	x composed_primarily_of y iff: more than half of the mass of x is made from parts of y.
ERROR	multiple_definitions	existence starts during	definition	Relation between continuant c and occurrent s, such that every instance of c comes into existing during some s.
ERROR	multiple_definitions	existence starts during	definition	x existence starts during y if and only if the time point at which x starts is after or equivalent to the time point at which y starts and before or equivalent to the time point at which y ends. Formally: x existence starts during y iff α(x) >= α(y) & α(x) <= ω(y).
ERROR	multiple_definitions	existence starts with	definition	Relation between continuant and occurrent, such that c comes into existence at the start of p.
ERROR	multiple_definitions	existence starts with	definition	x starts ends with y if and only if the time point at which x starts is equivalent to the time point at which y starts. Formally: x existence starts with y iff α(x) = α(y).
ERROR	multiple_definitions	existence ends during	definition	Relation between continuant c and occurrent s, such that every instance of c ceases to exist during some s, if it does not die prematurely.
